eu_sdg,dimension,dimension_label,unit,unit_label,geo,geo_label,time,obs_value,obs_status
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,DK,Denmark,2020,116.4,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,DK,Denmark,2021,92.3,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,DK,Denmark,2022,86.3,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,DK,Denmark,2023,72.8,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,DE,Germany,2000,182.2,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,DE,Germany,2001,179.5,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,DE,Germany,2002,177.4,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,DE,Germany,2003,175.9,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,DE,Germany,2004,174.9,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,DE,Germany,2005,173.4,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,DE,Germany,2006,172.5,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,DE,Germany,2007,169.5,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,DE,Germany,2008,164.8,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,DE,Germany,2009,154,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,DE,Germany,2010,151.1,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,DE,Germany,2011,145.6,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,DE,Germany,2012,141.6,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,DE,Germany,2013,136.1,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,DE,Germany,2014,132.5,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,DE,Germany,2015,128.3,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,DE,Germany,2016,126.9,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,DE,Germany,2017,154.2,BE
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,DE,Germany,2018,157,E
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,DE,Germany,2019,159,E
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,DE,Germany,2020,136,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,DE,Germany,2021,113.5,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,DE,Germany,2022,105.9,
